"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x3a1319a1b762102fa08c62a19440610f720557d103942cadfc55a199bb12eebd","8307647","1622414984","2021-05-30 22:49:44","0x0000000000000000000000000000000000000000","0x0000000000000000000000000000000000000000","0.000000000000001","Add Liquidity ETH"
"0x3a1319a1b762102fa08c62a19440610f720557d103942cadfc55a199bb12eebd","8307647","1622414984","2021-05-30 22:49:44","0x0000000000000000000000000000000000000000","0x12164b332d01cc694e752d7039ee21d56fe7705d","0.031622776601682793","Add Liquidity ETH"
"0xb90aea7ecc20d15d26726ff0adf29fb974946648546b20dd812c229e31819831","8330644","1622430522","2021-05-31 03:08:42","0x0000000000000000000000000000000000000000","0x651c636fc2adbb79fb2c8fbb1cf3a6f76ff1fdd9","0.053011425303531342","Add Liquidity ETH"
"0x1f6f222f30f9db2f103941e3f09249151b925cd5a52be11b7468761139e3ac79","8349598","1622443246","2021-05-31 06:40:46","0x0000000000000000000000000000000000000000","0x51e064e68d68ffdd6c0c625e014a1addca3a7980","0.08159801975078359","Add Liquidity ETH"
"0xbe75ed5f800b5a99e3cc945bb8900516b580901ca6b73127520036f3bb0088fd","8434517","1622502642","2021-05-31 23:10:42","0x0000000000000000000000000000000000000000","0xac8186e1cc837a24b631d444bfa572717fa02cf0","0.02598945176843092","Add Liquidity ETH"
"0x1d766872783885a53978565130015cbff1034cfc6af73382e505fb2c251ceacf","8605347","1622619900","2021-06-02 07:45:00","0x0000000000000000000000000000000000000000","0x58b4580620230bf64d4efa5911d4ede1db058587","0.08558041972520268","Add Liquidity ETH"
"0xb55446df8fd5f5064cb25208b17cc6855486620b13b8eb230f08695d8b02f2fc","8618374","1622628910","2021-06-02 10:15:10","0x0000000000000000000000000000000000000000","0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca","0.040183078210646537","Add Liquidity ETH"
"0xff33d48ad87f4f481e5cfd5a9923f07c7cc4f9c749afaa99133869fa8398dc16","8620433","1622630310","2021-06-02 10:38:30","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0.05107101614071336","Add Liquidity ETH"
"0x2ba239a9950b45e4af23dc87dd818db0db02aa01746ed5a1fdf2656715e8bcd2","8621889","1622631346","2021-06-02 10:55:46","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0x2a651563c9d3af67ae0388a5c8f89b867038089e","0.05107101614071336","Remove Liquidity ETH With Permit"
"0x2ba239a9950b45e4af23dc87dd818db0db02aa01746ed5a1fdf2656715e8bcd2","8621889","1622631346","2021-06-02 10:55:46","0x2a651563c9d3af67ae0388a5c8f89b867038089e","0x0000000000000000000000000000000000000000","0.05107101614071336","Remove Liquidity ETH With Permit"
"0xc6dfedc8a51b98cac074a8d5a5c8fd54ff1459cedd8395c8fc1671f51cb6ad32","8624755","1622633999","2021-06-02 11:39:59","0x0000000000000000000000000000000000000000","0x631f82fb2a62496d28780a821f47786b05e2278a","0.002613822631341364","Add Liquidity ETH"
"0xe0d7cba730090644a4b16b7fda4c4aa0c35210651577067f180f99f71025e060","8625686","1622634849","2021-06-02 11:54:09","0x0000000000000000000000000000000000000000","0x631f82fb2a62496d28780a821f47786b05e2278a","0.004447434222242224","Add Liquidity ETH"
"0xa64cd8d7d0be496dc726204d0890bd2830521575d087010a1d4bb160b09a2f9e","8628606","1622637442","2021-06-02 12:37:22","0x0000000000000000000000000000000000000000","0x052aa017270434c91ca09c082018bd3b8f26e613","0.121016274737948309","Add Liquidity ETH"
"0xa9e16a4f7eccc61ed2d9322fae455cb62916105ec2805667be2e112ee4c6eca4","8628784","1622637577","2021-06-02 12:39:37","0x0000000000000000000000000000000000000000","0xcf6dafa1e5c71bb87107629b16bf7e65c6f03895","0.719904612244465301","Add Liquidity ETH"
"0x3996ab55b83107238d50c01f4ccfd452b85e6f00abaf9eb8def088b1d6ea88af","8628819","1622637602","2021-06-02 12:40:02","0x0000000000000000000000000000000000000000","0x30e4e5df57bf2292e6b093522d6433b5e4256317","0.626679431354229027","Add Liquidity ETH"
"0x7b25f494e0a352aae544107fb42bf5c313cd68d9fa622be9f23a10828b2a7c77","8628835","1622637617","2021-06-02 12:40:17","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","1.415600556691879899","Add Liquidity ETH"
"0x9a1a33201cf00a88fc180ac6c1147cc2a6d7605dffd780ceead3ec7ec356c1c1","8628865","1622637639","2021-06-02 12:40:39","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","1.051898295962479626","Add Liquidity ETH"
"0xb9a44110f3ed836a637d049c410a574fe585ec30e8ad4e0e6a05d5e1e0aecd69","8628886","1622637654","2021-06-02 12:40:54","0x0000000000000000000000000000000000000000","0x31b47a0b0a98d0bb7524985577ec605e5a2a99d5","0.070072628331478643","Add Liquidity ETH"
"0x11158e8291366e0473bf8b604df27de7cf8abb43a2013441e0b170a7b0119fd8","8628994","1622637730","2021-06-02 12:42:10","0x0000000000000000000000000000000000000000","0x28ead95628610b4ee91408cfe1c225c71ab6e7a8","0.612951997120359089","Add Liquidity ETH"
"0x017e45c1ff9bf12e35d3af5aba1d1c98bc7381a648c208101969c4b6380f4dc7","8629030","1622637761","2021-06-02 12:42:41","0x0000000000000000000000000000000000000000","0xaa9e20bab58d013220d632874e9fe44f8f971e4d","0.002215818632639199","Add Liquidity ETH"
"0xf3518e6ad99a134e8c59c7f04b84bcd15d0a4621a0d311413eae3fe1abbd053c","8629091","1622637802","2021-06-02 12:43:22","0x0000000000000000000000000000000000000000","0xea0b2e3b1cbdc62a7e90bf443444865681da4903","0.065279058027233795","Add Liquidity ETH"
"0x619f2c2befb12c9f0efba7396144e1e999ee29bdad546d8167c98723a77c71fe","8629164","1622637861","2021-06-02 12:44:21","0x0000000000000000000000000000000000000000","0xaa9e20bab58d013220d632874e9fe44f8f971e4d","0.81777915029644995","Add Liquidity"
"0x90b2708f59e17c3d1e2a1f9e3622a171d68c1b931024425299a10248aecc762b","8629286","1622637965","2021-06-02 12:46:05","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","1.043553929158630219","Add Liquidity ETH"
"0x48fccdce0186c7ed23b3501da35d1fec83a404876ee441c4e75f94bb5252c84d","8629334","1622638004","2021-06-02 12:46:44","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","1.060427681028194715","Add Liquidity ETH"
"0x4477ced2f2096a30c61fc10b22a7904da904fe0de00f32cdf677af605f82e5b4","8629377","1622638034","2021-06-02 12:47:14","0x0000000000000000000000000000000000000000","0x31b47a0b0a98d0bb7524985577ec605e5a2a99d5","0.885275633142083611","Add Liquidity ETH"
"0x6282ad83f611601f8baec6a851d710bd3d5c81d93862debc28153aeccf38fad0","8629441","1622638081","2021-06-02 12:48:01","0x0000000000000000000000000000000000000000","0x424c6788f8cae36bb2f67e18f35419cadc1e0288","0.008366217837534683","Add Liquidity ETH"
"0x6523efd1cc74cb16b246117801c0f463f4f67df069b2b595d906e04a6a48ade6","8629454","1622638090","2021-06-02 12:48:10","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","2.065926345285213519","Add Liquidity ETH"
"0xfb4fbc3ee6a69e65c94d08edbc85d3db2c347f8fe69f7909f358739914f5998b","8629476","1622638104","2021-06-02 12:48:24","0x0000000000000000000000000000000000000000","0xecc40bb63c6f7227071dfd5cb296eddf761f09eb","0.023603076204855337","Add Liquidity ETH"
"0xda8578853eed78d01670c8a760e0f16071502dceb52a1fa5cb446ae44329b3d4","8629532","1622638150","2021-06-02 12:49:10","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0x2a651563c9d3af67ae0388a5c8f89b867038089e","6.637406808126397978","Remove Liquidity ETH With Permit"
"0xda8578853eed78d01670c8a760e0f16071502dceb52a1fa5cb446ae44329b3d4","8629532","1622638150","2021-06-02 12:49:10","0x2a651563c9d3af67ae0388a5c8f89b867038089e","0x0000000000000000000000000000000000000000","6.637406808126397978","Remove Liquidity ETH With Permit"
"0x0149868d00fa1e7117472d058920df752ba508114a8a514696fcc45bd52a9e1e","8629579","1622638193","2021-06-02 12:49:53","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","4.26823898198371321","Add Liquidity ETH"
"0xd8c947878b2b2b41ac95b8fdc107b34ad51a38150bb101b810a35b591cde45cd","8629619","1622638234","2021-06-02 12:50:34","0x0000000000000000000000000000000000000000","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","2.280558614991612705","Add Liquidity ETH"
"0xc3e1f1122d347a88c55ec4b4dd92f68f9a4c8172c923efc80196c1ae4ed950d0","8629628","1622638241","2021-06-02 12:50:41","0x0000000000000000000000000000000000000000","0x28ead95628610b4ee91408cfe1c225c71ab6e7a8","0.266920547970329019","Add Liquidity ETH"
"0x181e5bc67a42e203e71efecbf4f3f5106020a03edd9f2b8bd5057cbc54d2bf65","8629740","1622638336","2021-06-02 12:52:16","0x0000000000000000000000000000000000000000","0x0cc16c9d2c46163cbf4ba1146cc5380a9885796d","0.012486214879560171","Add Liquidity ETH"
"0xafcdb008cc6b5c4655bd2cf7a579e79c6ce42c0fbe225f975193d77d9193425d","8629794","1622638383","2021-06-02 12:53:03","0x0000000000000000000000000000000000000000","0xecc40bb63c6f7227071dfd5cb296eddf761f09eb","0.03421059120741388","Add Liquidity ETH"
"0xf376d2040a7cb5573dd71565d798838e63e4a4e205eb8e6162285996d3677b48","8629878","1622638450","2021-06-02 12:54:10","0x0000000000000000000000000000000000000000","0x8e182bf85578b204b285160ef8066515dde0b7bc","0.374172328029414085","Add Liquidity ETH"
"0x21aa72a7b93f8e964c02fb9e7f7a9b1503008f7d9b3c67d4e926b30b0ed003f4","8629885","1622638456","2021-06-02 12:54:16","0x0000000000000000000000000000000000000000","0xbac7eb249d1d92f379ab740d52dc240a31d0f285","0.019264220401084049","Add Liquidity ETH"
"0x58a5abb30652403779eda82093240c946616055f33be84befcd3c62f7427e857","8630057","1622638594","2021-06-02 12:56:34","0x0000000000000000000000000000000000000000","0x3ae7783b7fa466e2c9197e60c05c84d6683cbc53","0.028193356785181002","Add Liquidity ETH"
"0x2d0929c3deeffd4f9a996094d847e1e9479daa0a7c222105182bef942ffcbf01","8630126","1622638646","2021-06-02 12:57:26","0xae3a86cae35d5fdd4091ad294433da5ff49d00bb","0x2a651563c9d3af67ae0388a5c8f89b867038089e","6.548797596975325915","Remove Liquidity ETH With Permit"
"0x2d0929c3deeffd4f9a996094d847e1e9479daa0a7c222105182bef942ffcbf01","8630126","1622638646","2021-06-02 12:57:26","0x2a651563c9d3af67ae0388a5c8f89b867038089e","0x0000000000000000000000000000000000000000","6.548797596975325915","Remove Liquidity ETH With Permit"
"0xf7b3ae7b04500dd6311ceb14c33292064ccc08978729bc4e6ff64e1ffdd611f8","8630133","1622638651","2021-06-02 12:57:31","0x0000000000000000000000000000000000000000","0x424c6788f8cae36bb2f67e18f35419cadc1e0288","0.006767990818851055","Add Liquidity ETH"
